,name,location,distance,searched_latitude,searched_longitude
29,Kopitiam,53 Capel St,644,53.354929,-6.269425
30,Brannigan's,9 Cathedral St,806,53.354929,-6.269425
31,M&L Chinese Restaurant,13/14 Cathedral St,815,53.354929,-6.269425
32,Bar Italia,26 Lower Ormond Quay,1019,53.354929,-6.269425
33,The Boars Head,149 Capel St,848,53.354929,-6.269425
34,Xi'an Street Food,16 Earl Street North,894,53.354929,-6.269425
35,McDonald's,Unit 67 Ilac Shopping Center,549,53.354929,-6.269425
36,Beshoff Fish And Chips,6 Uppr O'Connell St,789,53.354929,-6.269425
37,Morrison Grill,"Morrison Hotel, Lwr Ormond Quay",985,53.354929,-6.269425
38,Grand Central Bar,10-11A Oconnell St,982,53.354929,-6.269425
39,McDonald's,14/16 Mary St,714,53.354929,-6.269425
40,Istanbel Kebab,10 Lower Liffey St,926,53.354929,-6.269425
41,The Big Tree,39 Lower Dorset St,780,53.354929,-6.269425
42,Supermac's,O'Connell St,983,53.354929,-6.269425
43,Muse Café @Eason,40 O'Connell St,937,53.354929,-6.269425
44,T.P. Smiths,9-10 Jervis St,849,53.354929,-6.269425
45,Tia Maria,,505,53.354929,-6.269425
46,Wasabi Bar & Grill,Dublin,523,53.354929,-6.269425
47,McDonald's,62 Upper O'Connell St,767,53.354929,-6.269425
48,Fortune Terrace,O connell,572,53.354929,-6.269425
49,Silver Leaf,,628,53.354929,-6.269425
50,Vice Coffee Inc,"54, Middle Abbey St",181,53.349013,-6.260311
51,The Flowing Tide,9 Lower Abbey St,168,53.349013,-6.260311
52,Cassidy's Bar,27 Westmoreland St,308,53.349013,-6.260311
53,The Winding Stair,40 Lower Ormond Quay,353,53.349013,-6.260311
54,Shoe Lane Coffee,7 Tara St,404,53.349013,-6.260311
55,Vintage Cocktail Club,15 Crown Alley,463,53.349013,-6.260311
56,Govindas,83 Middle Abbey St,79,53.349013,-6.260311
57,Bowes Lounge,31 Fleet St,384,53.349013,-6.260311
58,The Old Storehouse,"3 Crown Alley, Temple Bar",452,53.349013,-6.260311
59,The Temple Bar,47-48 Temple Bar,469,53.349013,-6.260311
60,The Church,Junction Mary & Jervis Sts,427,53.349013,-6.260311
61,Brother Hubbard North,153 Capel St,574,53.349013,-6.260311
62,The Woollen Mills,41/42 Lower Ormond Quay,319,53.349013,-6.260311
63,The Wiley Fox,28 Eden Quay,297,53.349013,-6.260311
64,The Stag's Head,1 Dame Ct,611,53.349013,-6.260311
65,Musashi Noodles & Sushi BAR,15 Capel St,567,53.349013,-6.260311
66,Pho Ta,"Cope St, Temple Bar",472,53.349013,-6.260311
67,FXB (Temple Bar),Crow Street,543,53.349013,-6.260311
68,The Porterhouse,16-18 Parliament St,641,53.349013,-6.260311
69,The Bank on College Green,20-22 College Green,535,53.349013,-6.260311
70,Murphys Ice Cream,27 Wicklow St,678,53.349013,-6.260311
71,Fitzgerald's,22 Aston Quay,262,53.349013,-6.260311
72,Pichet,14-15 Trinity St,583,53.349013,-6.260311
73,The Black Sheep,61 Capel St,585,53.349013,-6.260311
74,The Brew Dock,1 Amiens St,627,53.349013,-6.260311
75,Kaph,31 Drury St,739,53.349013,-6.260311
76,IL Capo Italian Pizza & Pasta,62 Talbot St,619,53.349013,-6.260311
77,Lemon Jelly Cafe,Millennium Walkway,392,53.349013,-6.260311
78,Avoca Café,11-13 Suffolk St,616,53.349013,-6.260311
79,O'Neill's Pub & Kitchen,2 Suffolk St,572,53.349013,-6.260311
80,Cornucopia,19/20 Wicklow St,669,53.349013,-6.260311
81,Arisu,119 Capel St,574,53.349013,-6.260311
82,The Quays Irish Restaurant,10-12 Temple Bar Square,427,53.349013,-6.260311
83,Coffee Angel,"16 South Anne Street, Dublin 2, D02 VF29",885,53.349013,-6.260311
84,Bunsen,3 South Anne St,870,53.349013,-6.260311
85,Oliver St John Gogarty,18/21 Anglesea st,387,53.349013,-6.260311
86,The George,89 S Great Georges St,656,53.349013,-6.260311
87,O'Connells,"30 Bachelors Walk | Beside O'connell Bridge, Dublin Dublin 1",186,53.349013,-6.260311
88,Grogan's Castle Lounge,15 South William St,767,53.349013,-6.260311
89,Bad Bobs Temple Bar,35-37 Essex St E,569,53.349013,-6.260311
90,Kehoe's,9 South Anne St,876,53.349013,-6.260311
91,Bread 41,"41 Pearse Street, Dublin, Dublin 2",741,53.349013,-6.260311
92,Hard Rock Cafe,"12 Fleet Street, Temple Bar",350,53.349013,-6.260311
93,Xian Street Food,28 Anne Street South,884,53.349013,-6.260311
94,Costa Coffee,3 College Green,521,53.349013,-6.260311
95,Urban Brewing,"Vault C, The chq Building, Custom House Quay, IFSC, Dublin, Dublin 1",798,53.349013,-6.260311
96,Bóbó's,50-51 Dame St,583,53.349013,-6.260311
97,Sano Pizza,2 Exchange Street Upper Corner of Dame St and Exchange St Upper,733,53.349013,-6.260311
98,The Gin Palace,42 Middle Abbey St,256,53.349013,-6.260311
99,The Market Bar,14A Fade St,782,53.349013,-6.260311
100,Matt The Thresher,"31-32, Lower Pembroke St",128,53.336074,-6.252825
101,FXB Steak & Seafood,1A Lwr Pembroke St,149,53.336074,-6.252825
102,Doheny & Nesbitt,5 Baggot Street Lower,220,53.336074,-6.252825
103,Bang Restaurant,11 Merrion Row,292,53.336074,-6.252825
104,Peruke & Periwig,31 Dawson St,585,53.336074,-6.252825
105,Peploe's,16 St Stephen's Green,516,53.336074,-6.252825
106,Coffee Angel,"16 South Anne Street, Dublin 2, D02 VF29",683,53.336074,-6.252825
107,The Garden Room,"The Merrion Hotel, 21-24 Upper Merrion St",268,53.336074,-6.252825
108,Sophie's Dublin,33 Harcourt St,724,53.336074,-6.252825
109,Bunsen,3 South Anne St,742,53.336074,-6.252825
110,M O'Briens Full Bar And Lounge,8 Sussex Terrace,537,53.336074,-6.252825
111,Kehoe's,9 South Anne St,713,53.336074,-6.252825
112,Tower Records,7 Dawson St,760,53.336074,-6.252825
113,Third Floor Espresso (3FE),32/34 Lower Grand Canal St,825,53.336074,-6.252825
114,Bunsen,36 Wexford St,862,53.336074,-6.252825
115,Xian Street Food,28 Anne Street South,725,53.336074,-6.252825
116,37 Dawson Street,37 Dawson St,629,53.336074,-6.252825
117,Murphys Ice Cream,27 Wicklow St,956,53.336074,-6.252825
118,Brother Hubbard South,46 Harrington St,920,53.336074,-6.252825
119,Las Tapas de Lola,12 Wexford St,845,53.336074,-6.252825
120,Pickle,Camden St,845,53.336074,-6.252825
121,The Little Kitchen,129 Upper Leeson St,637,53.336074,-6.252825
122,SOLE Seafood & Grill,"18-19 South William Street, Dublin, D02 KV76",917,53.336074,-6.252825
123,9 Below,9 St Stephen's Green,627,53.336074,-6.252825
124,The Ivy Dublin,13-17 Dawson St,690,53.336074,-6.252825
125,"The Schoolhouse Hotel, Ballsbridge, Dublin 4","2-8 Northumberland Road, Ballsbridge, Dublin 4",889,53.336074,-6.252825
126,The Coburg Brasserie,Conrad Hotel,321,53.336074,-6.252825
127,Cornucopia,19/20 Wicklow St,964,53.336074,-6.252825
128,Lemon & Duke,Duke Lane 2 Duke Lane Upper Corner of Lemon Street and Duke Lane,749,53.336074,-6.252825
129,Avoca Café,11-13 Suffolk St,948,53.336074,-6.252825
130,The Barge,42 Charlemont St,799,53.336074,-6.252825
131,Grogan's Castle Lounge,15 South William St,940,53.336074,-6.252825
132,Richmond,S Richmond St,963,53.336074,-6.252825
133,The Ginger Man,40 Fenian St,677,53.336074,-6.252825
134,Bread 41,"41 Pearse Street, Dublin, Dublin 2",974,53.336074,-6.252825
135,B Bar,Sussex Rd,707,53.336074,-6.252825
136,Kennedy's,30-32 Westland Row,684,53.336074,-6.252825
137,The Bleeding Horse,24 Camden Street Upper,845,53.336074,-6.252825
138,Dunne & Crescenzi,14-16 South Frederick St,719,53.336074,-6.252825
139,Honey Truffle,45 Pearse St,933,53.336074,-6.252825
140,Caffè Nero,51-52 S King St,724,53.336074,-6.252825
141,The 51 Bar,51 Haddington Rd,700,53.336074,-6.252825
142,Bruxelles,7-8 Harry St,791,53.336074,-6.252825
143,The Hairy Lemon,Stephen St,929,53.336074,-6.252825
144,Bar Rua,32 Clarendon St,835,53.336074,-6.252825
145,Aoki Sushi,"63 Richmond St S, Saint Kevin's, Dublin 2, Dublin, D2",913,53.336074,-6.252825
146,Zozimus,"Centenary House, Anne's Lane",684,53.336074,-6.252825
147,Angelina's,55 Percy Pl,584,53.336074,-6.252825
148,Gourmet Burger Kitchen (GBK),5 South Anne St,740,53.336074,-6.252825
149,The Bailey,1-4 Duke St,788,53.336074,-6.252825
150,The Black Sheep,61 Capel St,172,53.351182,-6.269859
151,The Church,Junction Mary & Jervis Sts,354,53.351182,-6.269859
152,Arisu,119 Capel St,258,53.351182,-6.269859
153,Brother Hubbard North,153 Capel St,460,53.351182,-6.269859
154,Musashi Noodles & Sushi BAR,15 Capel St,481,53.351182,-6.269859
155,Vice Coffee Inc,"54, Middle Abbey St",617,53.351182,-6.269859
156,The Winding Stair,40 Lower Ormond Quay,649,53.351182,-6.269859
157,The Porterhouse,16-18 Parliament St,687,53.351182,-6.269859
158,Gino's Gelato,41 Henry St,560,53.351182,-6.269859
159,The Temple Bar,47-48 Temple Bar,737,53.351182,-6.269859
160,Vintage Cocktail Club,15 Crown Alley,817,53.351182,-6.269859
161,Mr Fox Restaurant,"38 Parnell Square, Dublin, 1",386,53.351182,-6.269859
162,Slattery's,129 Capel St,328,53.351182,-6.269859
163,The Old Storehouse,"3 Crown Alley, Temple Bar",817,53.351182,-6.269859
164,The Stag's Head,1 Dame Ct,915,53.351182,-6.269859
165,Bison Bar,11 Wellington Quay,681,53.351182,-6.269859
166,Lemon Jelly Cafe,Millennium Walkway,536,53.351182,-6.269859
167,FXB (Temple Bar),Crow Street,834,53.351182,-6.269859
168,PHX Bistro,12 Ellis Quay,914,53.351182,-6.269859
169,Madigan's,19 O'Connell St,610,53.351182,-6.269859
170,Cassidy's Bar,27 Westmoreland St,897,53.351182,-6.269859
171,The Woollen Mills,41/42 Lower Ormond Quay,656,53.351182,-6.269859
172,Woolshed Baa & Grill,Unit 4 Parnell Centre Parnell St,219,53.351182,-6.269859
173,Pho Ta,"Cope St, Temple Bar",841,53.351182,-6.269859
174,The Flowing Tide,9 Lower Abbey St,843,53.351182,-6.269859
175,Pichet,14-15 Trinity St,957,53.351182,-6.269859
176,The Bank on College Green,20-22 College Green,948,53.351182,-6.269859
177,Bowes Lounge,31 Fleet St,985,53.351182,-6.269859
178,Gallaghers Boxty House,20-21 Temple Bar,801,53.351182,-6.269859
179,Bad Bobs Temple Bar,35-37 Essex St E,720,53.351182,-6.269859
180,Sano Pizza,2 Exchange Street Upper Corner of Dame St and Exchange St Upper,784,53.351182,-6.269859
181,Darkey Kellys,Fishamble St,805,53.351182,-6.269859
182,The George,89 S Great Georges St,899,53.351182,-6.269859
183,The Quays Irish Restaurant,10-12 Temple Bar Square,768,53.351182,-6.269859
184,Govindas,83 Middle Abbey St,687,53.351182,-6.269859
185,Third Space Smithfield,"Unit 14, Smithfield Market",684,53.351182,-6.269859
186,Frank Ryan & Son,5 Queen St,822,53.351182,-6.269859
187,The Wiley Fox,28 Eden Quay,974,53.351182,-6.269859
188,Yamamori Izakaya,12-13 South Great George's St,946,53.351182,-6.269859
189,Bóbó's,50-51 Dame St,871,53.351182,-6.269859
190,Fitzgerald's,22 Aston Quay,840,53.351182,-6.269859
191,Oliver St John Gogarty,18/21 Anglesea st,816,53.351182,-6.269859
192,Reyna,29-30 Dame St,908,53.351182,-6.269859
193,Proper Order Coffee Co.,"New Church St, Smithfield",764,53.351182,-6.269859
194,The Gin Palace,42 Middle Abbey St,570,53.351182,-6.269859
195,Costa Coffee,3 College Green,945,53.351182,-6.269859
196,Octagon Bar,"Clarence Hotel, 6-8 Wellington Quay",687,53.351182,-6.269859
197,Hard Rock Cafe,"12 Fleet Street, Temple Bar",838,53.351182,-6.269859
198,O'Connells,"30 Bachelors Walk | Beside O'connell Bridge, Dublin Dublin 1",774,53.351182,-6.269859
199,Zaytoon,14/15 Parliament St,718,53.351182,-6.269859
200,BoCo,"57 Bolton Street, Dublin, D01 CK40",682,53.354663,-6.278681
201,Slice,"56 Manor Place, Stoneybatter, North",479,53.354663,-6.278681
202,PHX Bistro,12 Ellis Quay,891,53.354663,-6.278681
203,La Pausa Caffe,1b-2 Blessington St,892,53.354663,-6.278681
204,Fish Shop - Benburb Street,76 Benburb St,855,53.354663,-6.278681
205,The Black Sheep,61 Capel St,842,53.354663,-6.278681
206,Clarkes Bakery,54 Cabra Rd,768,53.354663,-6.278681
207,Chapter One Restaurant,18/19 Parnell Square,982,53.354663,-6.278681
208,Blas Cafe,26 Kings Inn St,831,53.354663,-6.278681
209,Cafe Oasis,54 King Street North,571,53.354663,-6.278681
210,Aobaba,46A Capel St,924,53.354663,-6.278681
211,Arisu,119 Capel St,906,53.354663,-6.278681
212,Hilan Chinese & Korean Restaurant,45 Capel St,934,53.354663,-6.278681
213,Lovinspoon,13 North Fredrick St,938,53.354663,-6.278681
214,Frank Ryan & Son,5 Queen St,858,53.354663,-6.278681
215,Third Space Smithfield,"Unit 14, Smithfield Market",768,53.354663,-6.278681
216,Mr Fox Restaurant,"38 Parnell Square, Dublin, 1",937,53.354663,-6.278681
217,Proper Order Coffee Co.,"New Church St, Smithfield",793,53.354663,-6.278681
218,El Patron,4-6 North King St,680,53.354663,-6.278681
219,Slattery's,129 Capel St,960,53.354663,-6.278681
220,Woolshed Baa & Grill,Unit 4 Parnell Centre Parnell St,920,53.354663,-6.278681
221,Nando's,51-52 Mary St,997,53.354663,-6.278681
222,Bullet Duck And Dumplings,Dublin,928,53.354663,-6.278681
223,Kopitiam,53 Capel St,894,53.354663,-6.278681
224,Chopped,,719,53.354663,-6.278681
225,Ramen Co,56 Manor St,445,53.354663,-6.278681
226,Kerala Kitchen,73 Manor St,450,53.354663,-6.278681
227,McDonald's,144/145 Phibsborough Rd,913,53.354663,-6.278681
228,New Sunrise Takeaway,88 Manor St,463,53.354663,-6.278681
229,Eddie Rocket's,"phibsborough shopping centre, Phibsborough, dublin 7",936,53.354663,-6.278681
230,Basilico,"Prussia St, Stoneybatter",489,53.354663,-6.278681
231,Feedme,"Dublin, Dublin City",497,53.354663,-6.278681
232,Korean Table,50A Manor St,503,53.354663,-6.278681
233,Kuraudo Sushi & Gyoza,3 Stoneybatter,540,53.354663,-6.278681
234,Grain & Grill,Maldron Hotel Smithfield,576,53.354663,-6.278681
235,Decency,40 mountjoy st,598,53.354663,-6.278681
236,The Mad Hatter Cafe,"64 Prussia Street, Dublin 7",609,53.354663,-6.278681
237,Oxmantown,13 Smithfield Terrace,622,53.354663,-6.278681
238,3rd Still Restaurant,Old Jameson Distillery,733,53.354663,-6.278681
239,John's Takeaway,"Dublin, Dublin City",642,53.354663,-6.278681
240,Tani Japanese Takeaway,47A Phibsborough Rd,660,53.354663,-6.278681
241,Carlo's Fish & Chips,Beresford St,663,53.354663,-6.278681
242,Zucconi Restaurant,Dublin,665,53.354663,-6.278681
243,Abrakebabra,"158 Phibsborough Rd, Phibsborough, Dublin, D07 ED73",665,53.354663,-6.278681
244,Freshii,Smithfield Market,701,53.354663,-6.278681
245,Tia Maria,,702,53.354663,-6.278681
246,Nutbutter,,726,53.354663,-6.278681
247,Coffee Addiction,"340 North Circular Rd, Phibsborough",735,53.354663,-6.278681
248,Moorelands Bar,Capel St,757,53.354663,-6.278681
249,Pearl River Chinese Takeaway,62 Phibsborough Rd,766,53.354663,-6.278681
250,PHX Bistro,12 Ellis Quay,241,53.347692,-6.278214
251,Third Space Smithfield,"Unit 14, Smithfield Market",15,53.347692,-6.278214
252,Frank Ryan & Son,5 Queen St,145,53.347692,-6.278214
253,Proper Order Coffee Co.,"New Church St, Smithfield",96,53.347692,-6.278214
254,Arthur's Pub,28 Thomas St,558,53.347692,-6.278214
255,Brother Hubbard North,153 Capel St,655,53.347692,-6.278214
256,Musashi Noodles & Sushi BAR,15 Capel St,672,53.347692,-6.278214
257,The Porterhouse,16-18 Parliament St,763,53.347692,-6.278214
258,The Black Sheep,61 Capel St,646,53.347692,-6.278214
259,Container Coffee,161 Thomas St,606,53.347692,-6.278214
260,Arisu,119 Capel St,628,53.347692,-6.278214
261,The Church,Junction Mary & Jervis Sts,769,53.347692,-6.278214
262,Slice,"56 Manor Place, Stoneybatter, North",657,53.347692,-6.278214
263,Hilan Chinese & Korean Restaurant,45 Capel St,632,53.347692,-6.278214
264,The Winding Stair,40 Lower Ormond Quay,964,53.347692,-6.278214
265,The Temple Bar,47-48 Temple Bar,962,53.347692,-6.278214
266,The Tram Café,Wolfe Tone Square,763,53.347692,-6.278214
267,Darkey Kellys,Fishamble St,685,53.347692,-6.278214
268,Bison Bar,11 Wellington Quay,826,53.347692,-6.278214
269,Chez Max,1 Palace St,897,53.347692,-6.278214
270,Sano Pizza,2 Exchange Street Upper Corner of Dame St and Exchange St Upper,785,53.347692,-6.278214
271,Groundstate Coffee,"48- 50 James’s Street, Dublin, D08 YK6N",849,53.347692,-6.278214
272,Slattery's,129 Capel St,620,53.347692,-6.278214
273,Two Pups Coffee,74 Francis St,982,53.347692,-6.278214
274,Bad Bobs Temple Bar,35-37 Essex St E,863,53.347692,-6.278214
275,The George,89 S Great Georges St,1002,53.347692,-6.278214
276,Piglet,Cow's Lane,734,53.347692,-6.278214
277,Lemon Jelly Cafe,Millennium Walkway,854,53.347692,-6.278214
278,The Woollen Mills,41/42 Lower Ormond Quay,994,53.347692,-6.278214
279,Lucky’s,79 Meath St,669,53.347692,-6.278214
280,Manning's Bakery,40 Thomas St,538,53.347692,-6.278214
281,Oliver St John Gogarty,18/21 Anglesea st,1113,53.347692,-6.278214
282,Octagon Bar,"Clarence Hotel, 6-8 Wellington Quay",810,53.347692,-6.278214
283,Woolshed Baa & Grill,Unit 4 Parnell Centre Parnell St,785,53.347692,-6.278214
284,Toscana City Centre Italian Restaurant,"3 Cork Hill, Dame St",825,53.347692,-6.278214
285,Zaytoon,14/15 Parliament St,780,53.347692,-6.278214
286,The Gin Palace,42 Middle Abbey St,974,53.347692,-6.278214
287,Eddie Rocket's,77 Dame St,860,53.347692,-6.278214
288,Lundy Foots,"1/3 Essex Gate Temple Bar, Dublin D08 PN7C",743,53.347692,-6.278214
289,Mad Egg,"6 Jervis House, Millennium Walkway",871,53.347692,-6.278214
290,Cleaver East,"6-8 East Essex Street, Temple Bar",831,53.347692,-6.278214
291,Kopitiam,53 Capel St,640,53.347692,-6.278214
292,The Boars Head,149 Capel St,652,53.347692,-6.278214
293,Morrison Grill,"Morrison Hotel, Lwr Ormond Quay",835,53.347692,-6.278214
294,McDonald's,14/16 Mary St,778,53.347692,-6.278214
295,Copper + Straw,1 Arran Quay,251,53.347692,-6.278214
296,T.P. Smiths,9-10 Jervis St,800,53.347692,-6.278214
297,Copper Alley Bistro,No 2 Lord Edward Street Dublin 2,714,53.347692,-6.278214
298,Super Asia Food 恒辉食品,27 Capel St,658,53.347692,-6.278214
299,Umi Falafel - North City,"4 Mary St, North City",671,53.347692,-6.278214
300,Peruke & Periwig,31 Dawson St,273,53.338755,-6.262003
301,Bunsen,36 Wexford St,293,53.338755,-6.262003
302,Bunsen,3 South Anne St,299,53.338755,-6.262003
303,Peploe's,16 St Stephen's Green,261,53.338755,-6.262003
304,Coffee Angel,"16 South Anne Street, Dublin 2, D02 VF29",336,53.338755,-6.262003
305,Kehoe's,9 South Anne St,315,53.338755,-6.262003
306,Kaph,31 Drury St,431,53.338755,-6.262003
307,Sophie's Dublin,33 Harcourt St,410,53.338755,-6.262003
308,Murphys Ice Cream,27 Wicklow St,467,53.338755,-6.262003
309,37 Dawson Street,37 Dawson St,300,53.338755,-6.262003
310,Grogan's Castle Lounge,15 South William St,388,53.338755,-6.262003
311,The Stag's Head,1 Dame Ct,576,53.338755,-6.262003
312,Cornucopia,19/20 Wicklow St,476,53.338755,-6.262003
313,Caffè Nero,51-52 S King St,163,53.338755,-6.262003
314,Lemon & Duke,Duke Lane 2 Duke Lane Upper Corner of Lemon Street and Duke Lane,368,53.338755,-6.262003
315,Pickle,Camden St,568,53.338755,-6.262003
316,The Market Bar,14A Fade St,418,53.338755,-6.262003
317,Pichet,14-15 Trinity St,570,53.338755,-6.262003
318,Avoca Café,11-13 Suffolk St,541,53.338755,-6.262003
319,Vintage Cocktail Club,15 Crown Alley,710,53.338755,-6.262003
320,The Hairy Lemon,Stephen St,297,53.338755,-6.262003
321,The Bank on College Green,20-22 College Green,611,53.338755,-6.262003
322,Brother Hubbard South,46 Harrington St,713,53.338755,-6.262003
323,The Fumbally,Fumbally Lane,747,53.338755,-6.262003
324,FXB (Temple Bar),Crow Street,659,53.338755,-6.262003
325,O'Neill's Pub & Kitchen,2 Suffolk St,573,53.338755,-6.262003
326,The Old Storehouse,"3 Crown Alley, Temple Bar",717,53.338755,-6.262003
327,Bruxelles,7-8 Harry St,292,53.338755,-6.262003
328,The Porterhouse,16-18 Parliament St,800,53.338755,-6.262003
329,The Temple Bar,47-48 Temple Bar,760,53.338755,-6.262003
330,Bang Restaurant,11 Merrion Row,482,53.338755,-6.262003
331,Doheny & Nesbitt,5 Baggot Street Lower,609,53.338755,-6.262003
332,The George,89 S Great Georges St,577,53.338755,-6.262003
333,Pho Ta,"Cope St, Temple Bar",693,53.338755,-6.262003
334,The Winding Stair,40 Lower Ormond Quay,879,53.338755,-6.262003
335,Yamamori Izakaya,12-13 South Great George's St,530,53.338755,-6.262003
336,The Fourth Corner,50 Patrick St,682,53.338755,-6.262003
337,Matt The Thresher,"31-32, Lower Pembroke St",704,53.338755,-6.262003
338,Cassidy's Bar,27 Westmoreland St,865,53.338755,-6.262003
339,Bowes Lounge,31 Fleet St,830,53.338755,-6.262003
340,Zozimus,"Centenary House, Anne's Lane",259,53.338755,-6.262003
341,Alma.,12 South Circular Rd,834,53.338755,-6.262003
342,Nando's,12 Saint Andrew's St,505,53.338755,-6.262003
343,FXB Steak & Seafood,1A Lwr Pembroke St,685,53.338755,-6.262003
344,Musashi Noodles & Sushi BAR,15 Capel St,999,53.338755,-6.262003
345,Richmond,S Richmond St,873,53.338755,-6.262003
346,The Bleeding Horse,24 Camden Street Upper,602,53.338755,-6.262003
347,Sano Pizza,2 Exchange Street Upper Corner of Dame St and Exchange St Upper,722,53.338755,-6.262003
348,Metro Cafe,43 South William St,278,53.338755,-6.262003
349,Bóbó's,50-51 Dame St,617,53.338755,-6.262003
350,Kaph,31 Drury St,188,53.340927,-6.262501
351,Bunsen,3 South Anne St,165,53.340927,-6.262501
352,Murphys Ice Cream,27 Wicklow St,234,53.340927,-6.262501
353,Coffee Angel,"16 South Anne Street, Dublin 2, D02 VF29",247,53.340927,-6.262501
354,Grogan's Castle Lounge,15 South William St,145,53.340927,-6.262501
355,Kehoe's,9 South Anne St,204,53.340927,-6.262501
356,Peruke & Periwig,31 Dawson St,278,53.340927,-6.262501
357,The Stag's Head,1 Dame Ct,333,53.340927,-6.262501
358,Cornucopia,19/20 Wicklow St,242,53.340927,-6.262501
359,The Market Bar,14A Fade St,184,53.340927,-6.262501
360,Peploe's,16 St Stephen's Green,329,53.340927,-6.262501
361,Pichet,14-15 Trinity St,329,53.340927,-6.262501
362,The Hairy Lemon,Stephen St,98,53.340927,-6.262501
363,Avoca Café,11-13 Suffolk St,329,53.340927,-6.262501
364,Vintage Cocktail Club,15 Crown Alley,467,53.340927,-6.262501
365,37 Dawson Street,37 Dawson St,260,53.340927,-6.262501
366,The Bank on College Green,20-22 College Green,374,53.340927,-6.262501
367,Bunsen,36 Wexford St,457,53.340927,-6.262501
368,Lemon & Duke,Duke Lane 2 Duke Lane Upper Corner of Lemon Street and Duke Lane,231,53.340927,-6.262501
369,O'Neill's Pub & Kitchen,2 Suffolk St,345,53.340927,-6.262501
370,The Old Storehouse,"3 Crown Alley, Temple Bar",474,53.340927,-6.262501
371,Bruxelles,7-8 Harry St,112,53.340927,-6.262501
372,The Temple Bar,47-48 Temple Bar,517,53.340927,-6.262501
373,The George,89 S Great Georges St,340,53.340927,-6.262501
374,Caffè Nero,51-52 S King St,115,53.340927,-6.262501
375,The Porterhouse,16-18 Parliament St,576,53.340927,-6.262501
376,Pho Ta,"Cope St, Temple Bar",450,53.340927,-6.262501
377,Yamamori Izakaya,12-13 South Great George's St,293,53.340927,-6.262501
378,The Winding Stair,40 Lower Ormond Quay,635,53.340927,-6.262501
379,Sophie's Dublin,33 Harcourt St,642,53.340927,-6.262501
380,Nando's,12 Saint Andrew's St,265,53.340927,-6.262501
381,Cassidy's Bar,27 Westmoreland St,644,53.340927,-6.262501
382,Bowes Lounge,31 Fleet St,621,53.340927,-6.262501
383,Metro Cafe,43 South William St,47,53.340927,-6.262501
384,Vice Coffee Inc,"54, Middle Abbey St",776,53.340927,-6.262501
385,Brother Hubbard North,153 Capel St,792,53.340927,-6.262501
386,Bóbó's,50-51 Dame St,375,53.340927,-6.262501
387,Reyna,29-30 Dame St,350,53.340927,-6.262501
388,The Fumbally,Fumbally Lane,814,53.340927,-6.262501
389,Musashi Noodles & Sushi BAR,15 Capel St,768,53.340927,-6.262501
390,Sano Pizza,2 Exchange Street Upper Corner of Dame St and Exchange St Upper,512,53.340927,-6.262501
391,Shoe Lane Coffee,7 Tara St,848,53.340927,-6.262501
392,Zozimus,"Centenary House, Anne's Lane",186,53.340927,-6.262501
393,Costa Coffee,3 College Green,389,53.340927,-6.262501
394,Bad Bobs Temple Bar,35-37 Essex St E,519,53.340927,-6.262501
395,Gourmet Burger Kitchen (GBK),5 South Anne St,181,53.340927,-6.262501
396,Pickle,Camden St,790,53.340927,-6.262501
397,The Fourth Corner,50 Patrick St,683,53.340927,-6.262501
